"link_name","data_as_of","status","speed","travel_time"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T06:34:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:29:04.000","0","8.69","1046"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:29:04.000","0","28.58","248"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:29:04.000","0","45.98","333"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:29:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:29:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T06:29:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:24:04.000","0","8.69","1069"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:24:04.000","0","31.68","224"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:24:04.000","0","46.60","327"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:24:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:24:04.000","-101","0.00","0"
